"","GEOID","NAME","Mid_Income","Mid_nonfamily_income","Time_toWork","Walk_Time_toWork","Time_trans","Time_Taxicab","Time_Motorcycle","Time_Bicycle","Time_Walked","Time_Other means","Num_Child"
"94","48259","Kendall County, Texas",9423,396,737,295,264,30,21,55,295,269,318
"95","48261","Kenedy County, Texas",14958,19,70,14,14,14,14,14,14,14,111
"96","48263","Kent County, Texas",7387,49,67,14,13,14,14,14,14,13,81
"97","48265","Kerr County, Texas",3400,517,677,146,167,33,33,96,146,131,371
"98","48267","Kimble County, Texas",7765,139,192,36,14,14,14,14,36,14,122
"99","48269","King County, Texas",12410,13,31,14,3,14,14,14,14,3,26
"100","48271","Kinney County, Texas",26645,221,270,50,14,14,14,14,50,14,217
"101","48273","Kleberg County, Texas",4874,455,612,191,255,99,42,75,191,223,513
"102","48275","Knox County, Texas",6057,70,130,12,2,14,14,14,12,2,42
"103","48277","Lamar County, Texas",2391,418,823,253,133,20,35,18,253,126,294
"104","48279","Lamb County, Texas",3590,207,247,46,135,22,22,22,46,135,142
"105","48281","Lampasas County, Texas",6056,325,457,130,50,26,24,26,130,41,224
"106","48283","La Salle County, Texas",10662,206,443,52,48,20,20,20,52,48,343
"107","48287","Lee County, Texas",5259,236,386,196,136,22,26,22,196,134,165
"108","48289","Leon County, Texas",6786,297,474,71,106,22,22,25,71,105,253
"109","48291","Liberty County, Texas",2736,577,1335,140,186,33,60,97,140,143,810
"110","48293","Limestone County, Texas",2926,268,458,89,44,26,26,26,89,44,238
"111","48295","Lipscomb County, Texas",7041,71,112,15,8,14,14,2,15,8,81
"112","48297","Live Oak County, Texas",5642,203,313,47,108,22,22,14,47,109,173
"113","48299","Llano County, Texas",5147,357,450,86,111,26,37,26,86,104,231
"114","48303","Lubbock County, Texas",1645,1312,2084,436,398,58,97,200,436,307,1032
"115","48307","McCulloch County, Texas",6267,194,231,36,87,20,20,3,36,87,145
"116","48309","McLennan County, Texas",1375,1182,1553,320,233,74,63,87,320,189,1084
"117","48313","Madison County, Texas",3586,383,417,30,92,22,22,22,30,92,207
"118","48315","Marion County, Texas",2479,215,315,43,39,20,20,20,43,39,176
"119","48319","Mason County, Texas",7163,129,190,57,55,14,43,14,57,34,181
"120","48321","Matagorda County, Texas",4020,460,678,75,163,38,30,109,75,93,521
"121","48325","Medina County, Texas",4554,506,890,195,136,33,49,33,195,135,519
"122","48327","Menard County, Texas",10753,130,163,40,14,14,14,14,40,14,136
"123","48331","Milam County, Texas",2734,424,482,90,66,6,26,26,90,66,385
"124","48333","Mills County, Texas",5448,130,233,81,14,14,14,14,81,14,148
"125","48337","Montague County, Texas",5594,280,437,59,37,22,13,22,59,35,150
"126","48339","Montgomery County, Texas",2007,2249,3262,433,542,218,206,332,433,359,1304
"127","48343","Morris County, Texas",2832,221,292,60,77,22,22,22,60,77,133
